 

stn;time;gre000h0
TAE;2022112713;230
TAE;2022112714;191
TAE;2022112715;59
TAE;2022112716;9
TAE;2022112717;2
TAE;2022112718;2
TAE;2022112719;1
TAE;2022112720;1
TAE;2022112721;1
TAE;2022112722;2
TAE;2022112723;1
TAE;2022112800;1
TAE;2022112801;2
TAE;2022112802;2
TAE;2022112803;1
TAE;2022112804;1
TAE;2022112805;2
TAE;2022112806;1
TAE;2022112807;2
TAE;2022112808;25
TAE;2022112809;72
TAE;2022112810;67
TAE;2022112811;100
TAE;2022112812;135
TAE;2022112813;116
TAE;2022112814;92
TAE;2022112815;42
TAE;2022112816;6
TAE;2022112817;2
TAE;2022112818;2
TAE;2022112819;2
TAE;2022112820;2
TAE;2022112821;2
TAE;2022112822;2
TAE;2022112823;2
TAE;2022112900;2
TAE;2022112901;2
TAE;2022112902;2
TAE;2022112903;2
TAE;2022112904;3
TAE;2022112905;3
TAE;2022112906;2
TAE;2022112907;3
TAE;2022112908;20
TAE;2022112909;59
TAE;2022112910;91
TAE;2022112911;126
TAE;2022112912;122
TAE;2022112913;126
TAE;2022112914;78
TAE;2022112915;28
TAE;2022112916;5
TAE;2022112917;2
TAE;2022112918;2
TAE;2022112919;2
TAE;2022112920;2
TAE;2022112921;2
TAE;2022112922;2
TAE;2022112923;2
TAE;2022113000;2
TAE;2022113001;2
TAE;2022113002;2
TAE;2022113003;2
TAE;2022113004;2
TAE;2022113005;2
TAE;2022113006;2
TAE;2022113007;3
TAE;2022113008;10
TAE;2022113009;45
TAE;2022113010;79
TAE;2022113011;50
TAE;2022113012;41
TAE;2022113013;37
TAE;2022113014;26
TAE;2022113015;9
TAE;2022113016;4
TAE;2022113017;2
TAE;2022113018;2
TAE;2022113019;2
TAE;2022113020;2
TAE;2022113021;2
TAE;2022113022;2
TAE;2022113023;2

stn;time;gre000h0
AGAAR;2022110100;3
AGAAR;2022110101;3
AGAAR;2022110102;3
AGAAR;2022110103;3
AGAAR;2022110104;3
AGAAR;2022110105;3
AGAAR;2022110106;3
AGAAR;2022110107;7
AGAAR;2022110108;30
AGAAR;2022110109;63
AGAAR;2022110110;138
AGAAR;2022110111;120
AGAAR;2022110112;197
AGAAR;2022110113;171
AGAAR;2022110114;72
AGAAR;2022110115;64
AGAAR;2022110116;29
AGAAR;2022110117;3
AGAAR;2022110118;2
AGAAR;2022110119;2
AGAAR;2022110120;2
AGAAR;2022110121;2
AGAAR;2022110122;2
AGAAR;2022110123;2
AGAAR;2022110200;3
AGAAR;2022110201;3
AGAAR;2022110202;3
AGAAR;2022110203;3
AGAAR;2022110204;3
AGAAR;2022110205;3
AGAAR;2022110206;3
AGAAR;2022110207;7
AGAAR;2022110208;36
AGAAR;2022110209;78
AGAAR;2022110210;147
AGAAR;2022110211;184
AGAAR;2022110212;206
AGAAR;2022110213;127
AGAAR;2022110214;76
AGAAR;2022110215;43
AGAAR;2022110216;18
AGAAR;2022110217;2
AGAAR;2022110218;1
AGAAR;2022110219;1
AGAAR;2022110220;1
AGAAR;2022110221;2
AGAAR;2022110222;2
AGAAR;2022110223;2
AGAAR;2022110300;3
AGAAR;2022110301;3
AGAAR;2022110302;3
AGAAR;2022110303;3
AGAAR;2022110304;3
AGAAR;2022110305;3
AGAAR;2022110306;3
AGAAR;2022110307;10
AGAAR;2022110308;33
AGAAR;2022110309;63
AGAAR;2022110310;118
AGAAR;2022110311;207
AGAAR;2022110312;181
AGAAR;2022110313;96
AGAAR;2022110314;66
AGAAR;2022110315;28
AGAAR;2022110316;8
AGAAR;2022110317;3
AGAAR;2022110318;6
AGAAR;2022110319;5
AGAAR;2022110320;8
AGAAR;2022110321;6
AGAAR;2022110322;5
AGAAR;2022110323;5
AGAAR;2022110400;4
AGAAR;2022110401;3
AGAAR;2022110402;3
AGAAR;2022110403;3
AGAAR;2022110404;2
AGAAR;2022110405;2
AGAAR;2022110406;2
AGAAR;2022110407;10
AGAAR;2022110408;59
AGAAR;2022110409;127
AGAAR;2022110410;205
AGAAR;2022110411;192
AGAAR;2022110412;200
AGAAR;2022110413;126
AGAAR;2022110414;89
AGAAR;2022110415;54
AGAAR;2022110416;14
AGAAR;2022110417;2
AGAAR;2022110418;2
AGAAR;2022110419;2
AGAAR;2022110420;3
AGAAR;2022110421;3
AGAAR;2022110422;3
AGAAR;2022110423;3
AGAAR;2022110500;3
AGAAR;2022110501;3
AGAAR;2022110502;3
AGAAR;2022110503;2
AGAAR;2022110504;3
AGAAR;2022110505;3
AGAAR;2022110506;2
AGAAR;2022110507;5
AGAAR;2022110508;16
AGAAR;2022110509;67
AGAAR;2022110510;82
AGAAR;2022110511;164
AGAAR;2022110512;201
AGAAR;2022110513;123
AGAAR;2022110514;116
AGAAR;2022110515;66
AGAAR;2022110516;32
AGAAR;2022110517;2
AGAAR;2022110518;1
AGAAR;2022110519;1
AGAAR;2022110520;1
AGAAR;2022110521;1
AGAAR;2022110522;1
AGAAR;2022110523;1
AGAAR;2022110600;3
AGAAR;2022110601;3
AGAAR;2022110602;3
AGAAR;2022110603;3
AGAAR;2022110604;3
AGAAR;2022110605;3
AGAAR;2022110606;3
AGAAR;2022110607;6
AGAAR;2022110608;21
AGAAR;2022110609;45
AGAAR;2022110610;61
AGAAR;2022110611;147
AGAAR;2022110612;258
AGAAR;2022110613;157
AGAAR;2022110614;108
AGAAR;2022110615;57
AGAAR;2022110616;17
AGAAR;2022110617;2
AGAAR;2022110618;2
AGAAR;2022110619;3
AGAAR;2022110620;2
AGAAR;2022110621;3
AGAAR;2022110622;3
AGAAR;2022110623;3
AGAAR;2022110700;2
AGAAR;2022110701;3
AGAAR;2022110702;3
AGAAR;2022110703;2
AGAAR;2022110704;2
AGAAR;2022110705;3
AGAAR;2022110706;3
AGAAR;2022110707;10
AGAAR;2022110708;35
AGAAR;2022110709;124
AGAAR;2022110710;364
AGAAR;2022110711;404
AGAAR;2022110712;426
AGAAR;2022110713;110
AGAAR;2022110714;73
AGAAR;2022110715;65
AGAAR;2022110716;22
AGAAR;2022110717;2
AGAAR;2022110718;1
AGAAR;2022110719;1
AGAAR;2022110720;1
AGAAR;2022110721;1
AGAAR;2022110722;1
AGAAR;2022110723;1
AGAAR;2022110800;2
AGAAR;2022110801;3
AGAAR;2022110802;3
AGAAR;2022110803;3
AGAAR;2022110804;3
AGAAR;2022110805;3
AGAAR;2022110806;3
AGAAR;2022110807;9
AGAAR;2022110808;43
AGAAR;2022110809;91
AGAAR;2022110810;119
AGAAR;2022110811;168
AGAAR;2022110812;169
AGAAR;2022110813;136
AGAAR;2022110814;71
AGAAR;2022110815;63
AGAAR;2022110816;22
AGAAR;2022110817;2
AGAAR;2022110818;1
AGAAR;2022110819;2
AGAAR;2022110820;2
AGAAR;2022110821;2
AGAAR;2022110822;2
AGAAR;2022110823;2
AGAAR;2022110900;2
AGAAR;2022110901;2
AGAAR;2022110902;3
AGAAR;2022110903;3
AGAAR;2022110904;4
AGAAR;2022110905;5
AGAAR;2022110906;4
AGAAR;2022110907;5
AGAAR;2022110908;18
AGAAR;2022110909;39
AGAAR;2022110910;53
AGAAR;2022110911;55
AGAAR;2022110912;53
AGAAR;2022110913;45
AGAAR;2022110914;36
AGAAR;2022110915;24
AGAAR;2022110916;9
AGAAR;2022110917;5
AGAAR;2022110918;5
AGAAR;2022110919;5
AGAAR;2022110920;6
AGAAR;2022110921;6
AGAAR;2022110922;6
AGAAR;2022110923;5
AGAAR;2022111000;4
AGAAR;2022111001;4
AGAAR;2022111002;3
AGAAR;2022111003;3
AGAAR;2022111004;3
AGAAR;2022111005;3
AGAAR;2022111006;3
AGAAR;2022111007;9
AGAAR;2022111008;35
AGAAR;2022111009;116
AGAAR;2022111010;370
AGAAR;2022111011;428
AGAAR;2022111012;436
AGAAR;2022111013;72
AGAAR;2022111014;52
AGAAR;2022111015;39
AGAAR;2022111016;13
AGAAR;2022111017;1
AGAAR;2022111018;1
AGAAR;2022111019;1
AGAAR;2022111020;1
AGAAR;2022111021;2
AGAAR;2022111022;2
AGAAR;2022111023;2
AGAAR;2022111100;3
AGAAR;2022111101;3
AGAAR;2022111102;3
AGAAR;2022111103;3
AGAAR;2022111104;3
AGAAR;2022111105;3
AGAAR;2022111106;3
AGAAR;2022111107;5
AGAAR;2022111108;27
AGAAR;2022111109;51
AGAAR;2022111110;92
AGAAR;2022111111;133
AGAAR;2022111112;192
AGAAR;2022111113;162
AGAAR;2022111114;96
AGAAR;2022111115;39
AGAAR;2022111116;13
AGAAR;2022111117;1
AGAAR;2022111118;1
AGAAR;2022111119;1
AGAAR;2022111120;2
AGAAR;2022111121;3
AGAAR;2022111122;3
AGAAR;2022111123;3
AGAAR;2022111200;3
AGAAR;2022111201;3
AGAAR;2022111202;3
AGAAR;2022111203;3
AGAAR;2022111204;3
AGAAR;2022111205;3
AGAAR;2022111206;3
AGAAR;2022111207;5
AGAAR;2022111208;14
AGAAR;2022111209;36
AGAAR;2022111210;60
AGAAR;2022111211;76
AGAAR;2022111212;77
AGAAR;2022111213;93
AGAAR;2022111214;84
AGAAR;2022111215;40
AGAAR;2022111216;13
AGAAR;2022111217;3
AGAAR;2022111218;3
AGAAR;2022111219;3
AGAAR;2022111220;3
AGAAR;2022111221;3
AGAAR;2022111222;3
AGAAR;2022111223;3
AGAAR;2022111300;3
AGAAR;2022111301;3
AGAAR;2022111302;3
AGAAR;2022111303;3
AGAAR;2022111304;3
AGAAR;2022111305;3
AGAAR;2022111306;3
AGAAR;2022111307;4
AGAAR;2022111308;11
AGAAR;2022111309;23
AGAAR;2022111310;33
AGAAR;2022111311;41
AGAAR;2022111312;49
AGAAR;2022111313;53
AGAAR;2022111314;54
AGAAR;2022111315;31
AGAAR;2022111316;9
AGAAR;2022111317;3
AGAAR;2022111318;3
AGAAR;2022111319;3
AGAAR;2022111320;3
AGAAR;2022111321;3
AGAAR;2022111322;3
AGAAR;2022111323;3
