Office fédéral de météorologie et de climatologie, MétéoSuisse
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Abréviation de la station
y   Année
M   Mois
d   Jour
H   Heure
m   Minute   
     
Heures en UTC:           00:40 UTC = 02:40 heure d'été
                                   = 01:40 heure d'hiver

Référence du temps pour les valeurs horaires, si rien d'autre ne figure dans la description du paramètre: HH  = (HH-1):01 - HH:00
Exemple: 13 = se réfère à la période de mesure de 12:01 à 13:00

Les valeurs manquantes sont caractérisées par un '-'.

Informations sur la qualité: la légende relative aux informations sur la qualité se trouve sous: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_fr.pdf


 



Stations
--------
stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
DLKOE     Köln / Bonn                          gre000h0         Deutscher Wetterdienst                             7°09'/50°52'             580162/635586    92
IYLAA     Laas / Eyrs                          gre000h0         Autonome Provinz Bozen - Südtirol                  10°39'/46°37'            845853/168770    874
DLLAH     Lahr                                 gre000h0         Deutscher Wetterdienst                             7°50'/48°22'             628863/357259    155
IYLAI     Laimburg                             gre000h0         Autonome Provinz Bozen - Südtirol                  11°17'/46°23'            896074/144060    224
MMLBB     Langenthal / Bleienbach              gre000h0         DTN Schweiz AG                                     7°45'/47°11'             622981/225759    480
LAG       Langnau i.E.                         gre000h0         MeteoSchweiz                                       7°48'/46°56'             628003/198793    743
TGLAN     Lanzenneunforn                       gre000h0         Kanton Thurgau                                     8°56'/47°37'             712467/275918    575
MMLAF     Laufen / Dittingen                   gre000h0         DTN Schweiz AG                                     7°29'/47°26'             603951/254168    536
NABLAU    Lausanne                             gre000h0         Bundesamt für Umwelt                               6°38'/46°31'             538690/152624    538
WSLLAF    Lausanne Freiland                    gre000h0         Eidg. Forschungsanstalt WSL                        6°39'/46°34'             539386/156701    794
KALTB     Lauterbrunnen                        gre000h0         Kachelmannwetter GmbH                              7°55'/46°35'             636368/159991    797
DLLAU     Lautertal, Oberlauter                gre000h0         Deutscher Wetterdienst                             10°58'/50°18'            -/-              344
MMNOI     Le Noirmont                          gre000h0         DTN Schweiz AG                                     6°57'/47°14'             563465/230613    974
LEI       Leibstadt                            gre000h0         MeteoSchweiz                                       8°11'/47°36'             656373/272121    341
DLLEI     Leipzig / Schkeuditz                 gre000h0         Deutscher Wetterdienst                             12°14'/51°26'            934738/709406    131
MMLIN     Linthal                              gre000h0         DTN Schweiz AG                                     9°00'/46°55'             719045/198018    663
OTL       Locarno / Monti                      gre000h0         MeteoSchweiz                                       8°47'/46°10'             704166/114316    366
TGLOM     Lommis                               gre000h0         Kanton Thurgau                                     8°60'/47°31'             717573/264875    469
MMLOP     Lopagno                              gre000h0         DTN Schweiz AG                                     8°59'/46°04'             719000/103152    626
LUG       Lugano                               gre000h0         MeteoSchweiz                                       8°58'/46°00'             717873/95884     273
MMBIR     Lupfig / Flugplatz Birrfeld          gre000h0         DTN Schweiz AG                                     8°14'/47°27'             659672/255089    393
LUZ       Luzern                               gre000h0         MeteoSchweiz                                       8°18'/47°02'             665543/209849    454
LAE       Lägern                               gre000h0         MeteoSchweiz                                       8°24'/47°29'             672250/259460    844
WSLLAE    Lägern Turm                          gre000h0         Eidg. Forschungsanstalt WSL                        8°22'/47°29'             669777/259027    689
MAG       Magadino / Cadenazzo                 gre000h0         MeteoSchweiz                                       8°56'/46°10'             715479/113161    203
DLMAN     Mannheim                             gre000h0         Deutscher Wetterdienst                             8°33'/49°31'             -/-              96
MMMAT     Marthalen                            gre000h0         DTN Schweiz AG                                     8°39'/47°37'             691307/275566    411
VSMAS     Massongex                            gre000h0         Kanton Wallis; Dienststelle für Umweltschutz       6°59'/46°15'             564941/121275    398
MAH       Mathod                               gre000h0         MeteoSchweiz                                       6°34'/46°44'             533458/176567    435
MER       Meiringen                            gre000h0         MeteoSchweiz                                       8°10'/46°44'             655844/175930    588
MMMEL     Mels / Heiligkreuz                   gre000h0         DTN Schweiz AG                                     9°25'/47°04'             749713/214107    482
IYMER     Meran                                gre000h0         Autonome Provinz Bozen - Südtirol                  11°08'/46°41'            882785/177420    329
MMMES     Mesocco                              gre000h0         DTN Schweiz AG                                     9°14'/46°24'             737894/139979    840
DLMES     Messstetten                          gre000h0         Deutscher Wetterdienst                             8°57'/48°10'             711942/336543    899
DLMIC     Michelstadt / Vielbrunn              gre000h0         Deutscher Wetterdienst                             9°06'/49°43'             -/-              453
TIMOL     Moleno                               gre000h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione ambiente; Sezione protezione aria, acqua e suolo; Ufficio del monitoraggio ambientale 8°60'/46°17'             719940/126560    255
MOA       Mosen                                gre000h0         MeteoSchweiz                                       8°14'/47°15'             660128/232852    453
MMMOU     Moutier                              gre000h0         DTN Schweiz AG                                     7°22'/47°16'             594521/235986    537
