 

stn;time;sre000h0
TAE;2022112702;0
TAE;2022112703;0
TAE;2022112704;0
TAE;2022112705;0
TAE;2022112706;0
TAE;2022112707;0
TAE;2022112708;0
TAE;2022112709;1
TAE;2022112710;3
TAE;2022112711;24
TAE;2022112712;0
TAE;2022112713;10
TAE;2022112714;31
TAE;2022112715;0
TAE;2022112716;0
TAE;2022112717;0
TAE;2022112718;0
TAE;2022112719;0
TAE;2022112720;0
TAE;2022112721;0
TAE;2022112722;0
TAE;2022112723;0
TAE;2022112800;0
TAE;2022112801;0
TAE;2022112802;0
TAE;2022112803;0
TAE;2022112804;0
TAE;2022112805;0
TAE;2022112806;0
TAE;2022112807;0
TAE;2022112808;0
TAE;2022112809;0
TAE;2022112810;0
TAE;2022112811;0
TAE;2022112812;0
TAE;2022112813;0
TAE;2022112814;0
TAE;2022112815;0
TAE;2022112816;0
TAE;2022112817;0
TAE;2022112818;0
TAE;2022112819;0
TAE;2022112820;0
TAE;2022112821;0
TAE;2022112822;0
TAE;2022112823;0
TAE;2022112900;0
TAE;2022112901;0
TAE;2022112902;0
TAE;2022112903;0
TAE;2022112904;0
TAE;2022112905;0
TAE;2022112906;0
TAE;2022112907;0
TAE;2022112908;0
TAE;2022112909;0
TAE;2022112910;0
TAE;2022112911;0
TAE;2022112912;0
TAE;2022112913;0
TAE;2022112914;0
TAE;2022112915;0
TAE;2022112916;0
TAE;2022112917;0
TAE;2022112918;0
TAE;2022112919;0
TAE;2022112920;0
TAE;2022112921;0
TAE;2022112922;0
TAE;2022112923;0
TAE;2022113000;0
TAE;2022113001;0
TAE;2022113002;0
TAE;2022113003;0
TAE;2022113004;0
TAE;2022113005;0
TAE;2022113006;0
TAE;2022113007;0
TAE;2022113008;0
TAE;2022113009;0
TAE;2022113010;0
TAE;2022113011;0
TAE;2022113012;0
TAE;2022113013;0
TAE;2022113014;0
TAE;2022113015;0
TAE;2022113016;0
TAE;2022113017;0
TAE;2022113018;0
TAE;2022113019;0
TAE;2022113020;0
TAE;2022113021;0
TAE;2022113022;0
TAE;2022113023;0

stn;time;sre000h0
COM;2022110100;0
COM;2022110101;0
COM;2022110102;0
COM;2022110103;0
COM;2022110104;0
COM;2022110105;0
COM;2022110106;0
COM;2022110107;0
COM;2022110108;0
COM;2022110109;0
COM;2022110110;0
COM;2022110111;0
COM;2022110112;0
COM;2022110113;0
COM;2022110114;0
COM;2022110115;0
COM;2022110116;0
COM;2022110117;0
COM;2022110118;0
COM;2022110119;0
COM;2022110120;0
COM;2022110121;0
COM;2022110122;0
COM;2022110123;0
COM;2022110200;0
COM;2022110201;0
COM;2022110202;0
