Office fédéral de météorologie et de climatologie, MétéoSuisse
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Abréviation de la station
y   Année
M   Mois
d   Jour
H   Heure
m   Minute   
     
Heures en UTC:           00:40 UTC = 02:40 heure d'été
                                   = 01:40 heure d'hiver

Référence du temps pour les valeurs horaires, si rien d'autre ne figure dans la description du paramètre: HH  = (HH-1):01 - HH:00
Exemple: 13 = se réfère à la période de mesure de 12:01 à 13:00

Les valeurs manquantes sont caractérisées par un '-'.

Informations sur la qualité: la légende relative aux informations sur la qualité se trouve sous: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_fr.pdf


 



Stations
--------
stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
IYBOZ     Bozen                                rre150h0         Autonome Provinz Bozen - Südtirol                  11°19'/46°30'            897293/156942    246
IYBRZ     Branzoll                             rre150h0         Autonome Provinz Bozen - Südtirol                  11°19'/46°24'            897663/146809    227
TGBOH     Braunau / Oberhof                    rre150h0         Kanton Thurgau                                     9°05'/47°31'             723396/264338    630
DLBRE     Bremen                               rre150h0         Deutscher Wetterdienst                             8°48'/53°03'             691777/879837    4
BRZ       Brienz                               rre150h0         MeteoSchweiz                                       8°04'/46°44'             647552/176803    567
BOBEBR    Brienz                               rre150h0         Bundesamt für Strassen                             8°03'/46°44'             646678/176574    573
BOBEBW    Brienzwiler                          rre150h0         Bundesamt für Strassen                             8°05'/46°45'             649398/177213    572
BRI       Brig                                 rre150h0         MeteoSchweiz                                       7°58'/46°19'             640567/129069    665
BRT       Bristen                              rre150h0         MeteoSchweiz                                       8°42'/46°46'             696223/180373    784
IYBRI     Brixen / Vahrn                       rre150h0         Autonome Provinz Bozen - Südtirol                  11°39'/46°44'            921313/184094    560
IYBRU     Bruneck                              rre150h0         Autonome Provinz Bozen - Südtirol                  11°56'/46°48'            942770/193503    829
BRP       Brusio                               rre150h0         MeteoSchweiz                                       10°07'/46°16'            806477/127184    856
BOVDBR    Bruyère                              rre150h0         Bundesamt für Strassen                             6°48'/46°48'             551375/183974    600
BOSZBL    Brücke Linde                         rre150h0         Bundesamt für Strassen                             8°32'/47°03'             683381/211593    500
ZEOWBR    Brünig                               rre150h0         Bundesamt für Strassen                             8°08'/46°46'             653564/178965    998
ZHRU1     Bubikon / Barenberg                  rre150h0         Bundesamt für Strassen                             8°50'/47°16'             705306/235184    493
BOSGBH    Buchen                               rre150h0         Bundesamt für Strassen                             9°32'/47°29'             758200/260440    465
DLBUC     Buchenbach                           rre150h0         Deutscher Wetterdienst                             7°60'/47°58'             641782/312591    445
ZEOWBB    Buchholzbrücke                       rre150h0         Bundesamt für Strassen                             8°11'/46°50'             656842/186336    537
ZELUBR    Buchrain                             rre150h0         Kanton Luzern; zentras                             8°21'/47°06'             669187/217068    431
ZELUBU    Buchs                                rre150h0         Kanton Luzern; zentras                             8°02'/47°12'             645598/228503    514
BUS       Buchs / Aarau                        rre150h0         MeteoSchweiz                                       8°05'/47°23'             648395/248369    386
BOSGBU    Buchs SG                             rre150h0         Bundesamt für Strassen                             9°29'/47°10'             755175/226649    449
BEBUD     Burgdorf / Buchmatt                  rre150h0         Gemeinde Burgdorf                                  7°36'/47°04'             612703/212702    524
BEBUE     Burgdorf / Einschlag                 rre150h0         Gemeinde Burgdorf                                  7°38'/47°03'             614450/210254    544
BEBUV     Burgdorf / Viehmarktplatz            rre150h0         Gemeinde Burgdorf                                  7°38'/47°03'             614565/211436    538
ZELUBH    Buttisholz                           rre150h0         Kanton Luzern; zentras                             8°06'/47°07'             650676/219221    601
KABAT     Bättwil                              rre150h0         Kachelmannwetter GmbH                              7°31'/47°29'             605582/259823    366
BOBEBO    Bönigen                              rre150h0         Bundesamt für Strassen                             7°55'/46°41'             636327/170712    599
UBB       Bözberg                              rre150h0         MeteoSchweiz                                       8°08'/47°29'             652249/259223    536
BOSGBC    Büchel                               rre150h0         Bundesamt für Strassen                             9°32'/47°16'             758372/238054    450
BUE       Bülach                               rre150h0         MeteoSchweiz                                       8°32'/47°31'             682029/263775    403
ZHBUL     Bülach / Nord                        rre150h0         Kanton Zürich; Tiefbauamt                          8°32'/47°32'             682334/264658    438
TICAB     Cabbio                               rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione delle costruzioni; Ufficio dei corsi d'acqua 9°03'/45°54'             724643/84028     612
TICMD     Camedo                               rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione delle costruzioni; Ufficio dei corsi d'acqua 8°36'/46°09'             690050/112110    558
TICAM     Camignolo                            rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione ambiente; Sezione protezione aria, acqua e suolo; Ufficio del monitoraggio ambientale 8°56'/46°06'             715430/106905    435
TICAR     Carena                               rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione delle costruzioni; Ufficio dei corsi d'acqua 9°05'/46°10'             727230/114230    942
TIBIG     Cavergno Bignasco                    rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione delle costruzioni; Ufficio dei corsi d'acqua 8°37'/46°21'             690100/133070    455
BOVDCR    Centre Rennaz                        rre150h0         Bundesamt für Strassen                             6°55'/46°23'             560349/136310    379
CEV       Cevio                                rre150h0         MeteoSchweiz                                       8°36'/46°19'             689688/130565    417
CHZ       Cham                                 rre150h0         MeteoSchweiz                                       8°28'/47°11'             677758/226878    442
BOVDCH    Chandel M/13                         rre150h0         Bundesamt für Strassen                             6°41'/46°32'             541432/153882    680
BOJUDC    Chevenez                             rre150h0         Bundesamt für Strassen                             7°01'/47°24'             568482/250301    499
GECHE     Chevrier                             rre150h0         République et canton de Genève                     6°13'/46°13'             506185/119470    429
TICIA     Chiasso                              rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione delle costruzioni; Ufficio dei corsi d'acqua 9°01'/45°50'             722690/77090     240
DLCHI     Chieming                             rre150h0         Deutscher Wetterdienst                             12°32'/47°53'            -/-              551
VSCHO     Choëx                                rre150h0         MeteoSchweiz                                       6°58'/46°14'             563181/120189    891
ZEZGCE    Chrüzegg                             rre150h0         Kanton Zug; Tiefbauamt                             8°36'/47°10'             688381/225242    810
CHU       Chur                                 rre150h0         MeteoSchweiz                                       9°32'/46°52'             759465/193152    556
VDCHX     Château d'Oex                        rre150h0         Canton de Vaud                                     7°08'/46°28'             576150/146190    900
GEGFA     Chêne-Bougeries / Grange-Falquet     rre150h0         République et canton de Genève                     6°11'/46°12'             503204/117273    420
COL       Coldrerio                            rre150h0         MeteoSchweiz                                       8°60'/45°51'             721080/79235     347
BOBE30    Colombier / Viaduc                   rre150h0         Bundesamt für Strassen                             6°52'/46°58'             556690/201730    433
VDCOR     Corcelles-sur-Chavronay              rre150h0         Canton de Vaud                                     6°36'/46°42'             535880/172770    558
COS       Cossonay                             rre150h0         MeteoSchweiz                                       6°30'/46°37'             527563/162465    590
COY       Courtelary                           rre150h0         MeteoSchweiz                                       7°05'/47°11'             573622/225597    695
COU       Couvet                               rre150h0         MeteoSchweiz                                       6°40'/46°56'             540607/198345    728
VDCRA     Crans-près-Céligny                   rre150h0         Canton de Vaud                                     6°12'/46°22'             504875/135185    430
CRM       Cressier                             rre150h0         MeteoSchweiz                                       7°04'/47°03'             571162/210797    430
BONECR    Cressier                             rre150h0         Bundesamt für Strassen                             7°02'/47°02'             569021/210077    432
VDCRI     Crissier                             rre150h0         Canton de Vaud                                     6°35'/46°33'             534710/155835    476
VDCUL     Cully                                rre150h0         Canton de Vaud                                     6°44'/46°29'             546110/149060    385
DLDAC     Dachsberg / Wolpadingen              rre150h0         Deutscher Wetterdienst                             8°06'/47°42'             650073/283511    880
GEESS     Dardagny / Essertines                rre150h0         République et canton de Genève                     5°59'/46°12'             487827/118121    458
DLDEG     Deggenhausertal                      rre150h0         Deutscher Wetterdienst                             9°25'/47°48'             747744/296331    708
BOBEDE    Deisswil                             rre150h0         Bundesamt für Strassen                             7°27'/47°02'             600633/209143    524
DEM       Delémont                             rre150h0         MeteoSchweiz                                       7°21'/47°21'             593269/244543    439
DLDEU     Deuselbach                           rre150h0         Deutscher Wetterdienst                             7°03'/49°46'             -/-              480
GLDBA     Diesbach                             rre150h0         Gebäudeversicherung glarnerSach                    9°02'/46°57'             721184/201240    600
TGDIE     Diessenhofen                         rre150h0         Kanton Thurgau                                     8°45'/47°41'             698975/281905    421
DIT       Dietikon                             rre150h0         MeteoSchweiz                                       8°24'/47°25'             672890/251865    384
DLDIG     Dillingen                            rre150h0         Deutscher Wetterdienst                             10°34'/48°33'            830442/383077    419
DLDRE     Dresden / Klotzsche                  rre150h0         Deutscher Wetterdienst                             13°45'/51°08'            1042873/682770   227
TGDUS     Dussnang                             rre150h0         Kanton Thurgau                                     8°58'/47°26'             714972/254165    590
MMDAS     Därstetten                           rre150h0         DTN Schweiz AG                                     7°30'/46°39'             604225/167400    755
NABDUE    Dübendorf                            rre150h0         Bundesamt für Umwelt                               8°37'/47°24'             688690/250880    432
ZELUDB    Dürrenbach                           rre150h0         Kanton Luzern; zentras                             7°52'/46°55'             632905/196009    751
DLDUE     Düsseldorf                           rre150h0         Deutscher Wetterdienst                             6°46'/51°18'             553130/683869    37
DLEBE     Ebersberg                            rre150h0         Deutscher Wetterdienst                             11°59'/48°06'            938657/337590    592
EBK       Ebnat-Kappel                         rre150h0         MeteoSchweiz                                       9°07'/47°16'             726347/237176    623
EGR       Eggersriet                           rre150h0         MeteoSchweiz                                       9°28'/47°26'             753060/256197    770
TGEGN     Egnach                               rre150h0         Kanton Thurgau                                     9°23'/47°32'             746450/266570    415
EGO       Egolzwil                             rre150h0         MeteoSchweiz                                       8°00'/47°11'             642912/225540    521
OED       Ehrendingen                          rre150h0         MeteoSchweiz                                       8°20'/47°30'             667846/262266    428
EIN       Einsiedeln                           rre150h0         MeteoSchweiz                                       8°45'/47°08'             699982/221068    910
DLEIS     Eisenbach                            rre150h0         Deutscher Wetterdienst                             8°16'/47°58'             662043/312884    976
ELM       Elm                                  rre150h0         MeteoSchweiz                                       9°11'/46°55'             732265/198424    957
GLELM     Elm                                  rre150h0         Gebäudeversicherung glarnerSach                    9°10'/46°55'             732105/197974    977
DLELZ     Elzach / Fisnacht                    rre150h0         Deutscher Wetterdienst                             8°07'/48°12'             649830/339221    440
LUEMM     Emmen                                rre150h0         Kanton Luzern                                      8°19'/47°05'             666800/215725    426
DLEMM     Emmendingen / Mundingen              rre150h0         Deutscher Wetterdienst                             7°50'/48°08'             629489/332010    201
BOTGEN    Engwilen, Frauenfeld                 rre150h0         Bundesamt für Strassen                             9°06'/47°37'             725496/275318    513
ENT       Entlebuch                            rre150h0         MeteoSchweiz                                       8°04'/46°59'             647935/204165    768
KAEPT     Eptingen                             rre150h0         Kachelmannwetter GmbH                              7°49'/47°23'             628328/248873    544
DLERF     Erfurt / Bindersleben                rre150h0         Deutscher Wetterdienst                             10°58'/50°59'            847911/654307    316
TGERM     Ermatingen                           rre150h0         Kanton Thurgau                                     9°05'/47°40'             723562/280980    415
SOERS     Erschwil                             rre150h0         Kanton Solothurn                                   7°33'/47°23'             608930/247760    583
