Office fédéral de météorologie et de climatologie, MétéoSuisse
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Abréviation de la station
y   Année
M   Mois
d   Jour
H   Heure
m   Minute   
     
Heures en UTC:           00:40 UTC = 02:40 heure d'été
                                   = 01:40 heure d'hiver

Référence du temps pour les valeurs horaires, si rien d'autre ne figure dans la description du paramètre: HH  = (HH-1):01 - HH:00
Exemple: 13 = se réfère à la période de mesure de 12:01 à 13:00

Les valeurs manquantes sont caractérisées par un '-'.

Informations sur la qualité: la légende relative aux informations sur la qualité se trouve sous: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_fr.pdf


 



Stations
--------
stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
BOVDOU    Oulens                               rre150h0         Bundesamt für Strassen                             6°34'/46°39'             533069/166171    588
BOFROB    Outre-Broye                          rre150h0         Bundesamt für Strassen                             6°55'/46°34'             560070/157372    828
DLOYM     Oy-Mittelberg / Petersthal           rre150h0         Deutscher Wetterdienst                             10°23'/47°38'            821688/280321    885
PAY       Payerne                              rre150h0         MeteoSchweiz Test                                  6°57'/46°49'             562131/184611    490
BOGEPE    Perly                                rre150h0         Bundesamt für Strassen                             6°06'/46°10'             496498/113450    410
DLPFU     Pfullendorf                          rre150h0         Deutscher Wetterdienst                             9°17'/47°56'             738100/310955    630
ZHPFA     Pfäffikon, SZ / Etzelstrasse         rre150h0         Bundesamt für Strassen                             8°47'/47°12'             702121/228243    467
PIO       Piotta                               rre150h0         MeteoSchweiz                                       8°41'/46°31'             695880/152264    990
VDPON     Pont                                 rre150h0         Canton de Vaud                                     6°51'/46°35'             554950/159650    743
BONEPC    Pont Corcelles                       rre150h0         Bundesamt für Strassen                             6°42'/46°51'             544020/189448    500
BONEPA    Pont de l'Arnon 1                    rre150h0         Bundesamt für Strassen                             6°40'/46°49'             540622/186016    448
